Username,Repo Name,Repo Link,Star
public-apis,public-apis,https://github.com/public-apis/public-apis,268000
neovim,neovim,https://github.com/neovim/neovim,70700
tiangolo,fastapi,https://github.com/tiangolo/fastapi,64400
strapi,strapi,https://github.com/strapi/strapi,57200
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,56300
ocornut,imgui,https://github.com/ocornut/imgui,51600
meilisearch,meilisearch,https://github.com/meilisearch/meilisearch,39700
slatedocs,slate,https://github.com/slatedocs/slate,35500
Kong,insomnia,https://github.com/Kong/insomnia,31100
hasura,graphql-engine,https://github.com/hasura/graphql-engine,30500
